Date,Open,High,Low,Close,Volume
Mar 28 2017,27.88,28.15,27.81,28.12,336843
Mar 27 2017,28.22,28.29,27.77,27.95,361188
Mar 24 2017,28.50,28.59,28.10,28.43,422429
Mar 23 2017,28.87,29.55,28.77,29.54,442906
Mar 22 2017,28.83,29.01,28.39,28.94,333691
Mar 21 2017,29.41,29.59,28.90,28.92,409920
Mar 20 2017,29.10,29.57,29.09,29.27,536564
Mar 17 2017,28.58,29.07,28.57,29.07,1950435
Mar 16 2017,28.67,29.20,28.38,28.55,497356
Mar 15 2017,28.00,28.60,27.99,28.45,568973
Mar 14 2017,27.76,27.92,27.59,27.89,424032
Mar 13 2017,27.70,27.85,27.38,27.73,312958
Mar 10 2017,27.64,27.99,27.63,27.67,298226
Mar 9 2017,28.14,28.14,27.61,27.64,370821
Mar 8 2017,28.18,28.32,28.14,28.20,281699
Mar 7 2017,28.26,28.51,28.15,28.18,388716
Mar 6 2017,28.66,28.66,28.26,28.26,244414
Mar 3 2017,28.35,28.77,28.27,28.61,350683
Mar 2 2017,28.28,28.56,28.27,28.45,389498
Mar 1 2017,28.11,28.50,28.09,28.27,558324
Feb 28 2017,27.90,27.97,27.66,27.89,686068
Feb 27 2017,27.86,28.01,27.53,27.83,370148
Feb 24 2017,28.25,28.42,27.55,27.76,486453
Feb 23 2017,28.56,28.57,28.27,28.30,228000
Feb 22 2017,28.80,28.85,28.44,28.50,260757
Feb 21 2017,28.56,28.83,28.48,28.79,227605
Feb 20 2017,28.65,28.85,28.59,28.64,189037
Feb 17 2017,29.00,29.00,28.57,28.57,310838
Feb 16 2017,29.30,29.30,29.01,29.04,407665
