Date,Open,High,Low,Close,Volume
Mar 28 2017,5.42,5.45,5.37,5.40,14205669
Mar 27 2017,5.42,5.50,5.41,5.46,11703193
Mar 24 2017,5.37,5.41,5.35,5.37,7708597
Mar 23 2017,5.35,5.41,5.33,5.38,7050670
Mar 22 2017,5.35,5.39,5.30,5.39,14704001
Mar 21 2017,5.54,5.56,5.40,5.40,18328892
Mar 20 2017,5.53,5.57,5.50,5.54,18719839
Mar 17 2017,5.49,5.50,5.45,5.46,9137340
Mar 16 2017,5.41,5.48,5.41,5.45,10506252
Mar 15 2017,5.32,5.39,5.30,5.37,8469549
Mar 14 2017,5.34,5.34,5.30,5.34,4769877
Mar 13 2017,5.35,5.37,5.34,5.36,6772675
Mar 10 2017,5.33,5.38,5.32,5.37,9750422
Mar 9 2017,5.26,5.29,5.25,5.28,6879582
Mar 8 2017,5.19,5.22,5.16,5.18,8487396
Mar 7 2017,5.23,5.25,5.21,5.23,8366745
Mar 6 2017,5.29,5.30,5.26,5.28,7382061
Mar 3 2017,5.26,5.29,5.23,5.28,12001343
Mar 2 2017,5.21,5.25,5.20,5.22,19057182
Mar 1 2017,5.17,5.29,5.17,5.26,20319322
Feb 28 2017,5.13,5.18,5.12,5.14,9258729
Feb 27 2017,5.16,5.20,5.14,5.18,11384923
Feb 24 2017,5.10,5.18,5.09,5.14,11574417
Feb 23 2017,5.15,5.21,5.11,5.15,21960692
Feb 22 2017,5.03,5.11,5.01,5.10,16664985
Feb 21 2017,5.03,5.09,5.03,5.09,15021213
Feb 17 2017,5.01,5.05,4.99,5.05,7214647
Feb 16 2017,5.05,5.09,5.04,5.07,14644480
Feb 15 2017,4.96,5.01,4.95,5.00,12330396
