Date,Open,High,Low,Close,Volume
Mar 28 2017,7.43,7.54,7.41,7.54,129323
Mar 27 2017,7.45,7.48,7.37,7.45,169832
Mar 24 2017,7.50,7.55,7.44,7.46,111302
Mar 23 2017,7.36,7.47,7.32,7.47,126225
Mar 22 2017,7.40,7.43,7.21,7.36,247567
Mar 21 2017,7.56,7.64,7.46,7.46,140632
Mar 20 2017,7.62,7.69,7.56,7.58,121045
Mar 17 2017,7.65,7.72,7.60,7.67,170283
Mar 16 2017,7.85,7.97,7.84,7.86,175173
Mar 15 2017,7.74,7.84,7.74,7.84,145234
Mar 14 2017,7.80,7.80,7.73,7.76,87824
Mar 13 2017,7.75,7.80,7.67,7.78,159976
Mar 10 2017,7.75,7.80,7.68,7.72,196139
Mar 9 2017,7.86,7.86,7.75,7.75,115922
Mar 8 2017,7.86,7.90,7.81,7.84,195880
Mar 7 2017,7.87,7.98,7.86,7.94,168204
Mar 6 2017,8.00,8.04,7.89,7.89,128479
Mar 3 2017,8.05,8.05,7.91,7.95,99366
Mar 2 2017,8.13,8.13,7.98,8.05,111465
Mar 1 2017,8.02,8.14,7.95,8.13,240678
Feb 28 2017,7.94,8.03,7.89,8.01,315894
Feb 27 2017,7.77,7.94,7.77,7.90,228683
Feb 24 2017,8.03,8.06,7.71,7.76,375760
Feb 23 2017,8.25,8.33,8.03,8.03,388351
Feb 22 2017,8.16,8.45,8.16,8.30,394584
Feb 21 2017,8.13,8.29,8.00,8.23,352259
Feb 20 2017,7.83,8.20,7.83,8.11,701659
Feb 17 2017,7.65,7.97,7.63,7.80,1086220
Feb 16 2017,7.05,7.08,6.95,6.96,183791
