Date,Open,High,Low,Close,Volume
Mar 29 2017,278.34,279.60,275.54,277.38,3676157
Mar 28 2017,277.02,280.68,275.00,277.45,7987604
Mar 27 2017,260.60,270.57,259.75,270.22,6230795
Mar 24 2017,255.70,263.89,255.01,263.16,5647253
Mar 23 2017,255.39,257.67,253.30,254.78,3320245
Mar 22 2017,251.56,255.07,250.51,255.01,4059297
Mar 21 2017,262.83,264.80,250.24,250.68,6908554
Mar 20 2017,260.60,264.55,258.82,261.92,3614294
Mar 17 2017,264.00,265.33,261.20,261.50,6497496
Mar 16 2017,262.40,265.75,259.06,262.05,7132153
Mar 15 2017,257.00,261.00,254.27,255.73,5330806
Mar 14 2017,246.11,258.12,246.02,258.00,7598446
Mar 13 2017,244.82,246.85,242.78,246.17,3022625
Mar 10 2017,246.21,246.50,243.00,243.69,3066272
Mar 9 2017,247.63,248.66,243.00,244.90,3879293
Mar 8 2017,247.00,250.07,245.32,246.87,3728649
Mar 7 2017,251.92,253.89,248.32,248.59,3459470
Mar 6 2017,247.91,251.70,247.51,251.21,3355500
Mar 3 2017,251.33,251.90,249.00,251.57,2929234
Mar 2 2017,249.71,253.28,248.27,250.48,3351833
Mar 1 2017,254.18,254.85,249.11,250.02,4809488
Feb 28 2017,244.19,251.00,243.90,249.99,6078145
Feb 27 2017,248.17,248.36,242.01,246.23,11460810
Feb 24 2017,252.66,258.25,250.20,257.00,8171626
Feb 23 2017,264.00,264.66,255.56,255.99,14915249
Feb 22 2017,280.31,283.45,272.60,273.51,8754975
Feb 21 2017,275.45,281.40,274.01,277.39,5676747
Feb 17 2017,265.80,272.89,264.15,272.23,6257149
Feb 16 2017,277.60,280.00,268.50,268.95,7077322
