Date,Open,High,Low,Close,Volume
Mar 29 2017,842.75,851.58,841.38,849.87,1457347
Mar 28 2017,839.69,845.40,832.26,840.63,1519202
Mar 27 2017,828.09,841.38,824.30,838.51,1935211
Mar 24 2017,842.00,844.00,829.10,835.14,2105682
Mar 23 2017,841.39,841.69,833.00,839.65,3287669
Mar 22 2017,849.48,855.35,847.00,849.80,1366749
Mar 21 2017,870.06,873.47,847.69,850.14,2537978
Mar 20 2017,869.48,870.34,864.66,867.91,1542199
Mar 17 2017,873.68,874.42,868.37,872.37,1868252
Mar 16 2017,870.53,872.71,867.52,870.00,1104452
Mar 15 2017,867.94,869.88,861.30,868.39,1332885
Mar 14 2017,863.75,867.58,860.13,865.91,1061692
Mar 13 2017,860.83,867.13,860.82,864.58,1166605
Mar 10 2017,862.70,864.23,857.61,861.40,1336585
Mar 9 2017,853.69,860.71,852.67,857.84,1347697
Mar 8 2017,853.12,856.93,851.25,853.64,1029834
Mar 7 2017,847.26,853.33,845.52,851.15,1038696
Mar 6 2017,846.86,848.94,841.17,847.27,1047872
Mar 3 2017,848.94,850.82,844.70,849.08,1006612
Mar 2 2017,856.31,856.49,848.72,849.85,1250938
Mar 1 2017,851.38,858.00,849.02,856.75,1818671
Feb 28 2017,847.35,848.83,841.44,844.93,1383119
Feb 27 2017,844.95,850.67,843.01,849.67,1010333
Feb 24 2017,847.65,848.36,842.96,847.81,1346189
Feb 23 2017,851.08,852.62,842.50,851.00,1386681
Feb 22 2017,848.00,853.79,846.71,851.36,1224889
Feb 21 2017,847.99,852.20,846.55,849.27,1261062
Feb 17 2017,841.31,846.94,839.78,846.55,1461210
Feb 16 2017,838.50,842.69,837.26,842.17,1005084
